#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    |
--------------------------------------------------------
119     | 45       | 0.4718    | 0.4874    | OK        |
120     | 45       | 0.4717    | 0.4878    | OK        |
121     | 45       | 0.4709    | 0.4871    | OK        |
122     | 45       | 0.4708    | 0.4869    | OK        |
123     | 45       | 0.4706    | 0.4869    | OK        |
124     | 45       | 0.4694    | 0.4862    | OK        |
125     | 45       | 0.4685    | 0.4855    | OK        |
126     | 45       | 0.4682    | 0.484     | OK        |
127     | 45       | 0.4673    | 0.4825    | OK        |
128     | 45       | 0.4671    | 0.4825    | OK        |
129     | 45       | 0.4668    | 0.4828    | OK        |
130     | 45       | 0.4669    | 0.4829    | OK        |
131     | 45       | 0.4671    | 0.4826    | OK        |
132     | 1        | 0.3213    | 0.3824    | DAMN      |
132     | 1        | 0.3213    | 0.3824    | DAMN      |
--------------------------------------------------------
